name,phone,city,state,address,zip,county,call_script,sms_script,list_link
Valley Park Mobile Home Court,(704) 253-5071,Asheville,NC,35 Brookdale Road,28804,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Valley Park Mobile Home Court in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Valley Park Mobile Home Court (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Creekside Estates,(704) 629-3943,Bessemer City,NC,204 Chinook Road,28016,Gaston,"Hi, Bradley with Tread Companies / Trailer Parks calling about Creekside Estates in Bessemer City. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Creekside Estates (Bessemer City). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Laurel Wood Mfg Home Community,(828) 230-8041,Black Mountain,NC,601 Old Us 70 Hwy East,28711,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Laurel Wood Mfg Home Community in Black Mountain. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Laurel Wood Mfg Home Community (Black Mountain). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Lennon Mobile Home Site,(910) 648-6709,Bladenboro,NC,357 Lennon Bay Drive,28320,Bladen,"Hi, Bradley with Tread Companies / Trailer Parks calling about Lennon Mobile Home Site in Bladenboro. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Lennon Mobile Home Site (Bladenboro). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Fawnbrook Circle Mobile Home,(910) 253-8966,Bolivia,NC,1950 Old Ocean Highway,28422,Brunswick,"Hi, Bradley with Tread Companies / Trailer Parks calling about Fawnbrook Circle Mobile Home in Bolivia. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Fawnbrook Circle Mobile Home (Bolivia). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Clawson'S Mhp,(704) 264-8167,Boone,NC,170 Clawson Street,28607,Watauga,"Hi, Bradley with Tread Companies / Trailer Parks calling about Clawson'S Mhp in Boone. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Clawson'S Mhp (Boone). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Lasater Place Mhp,(919) 499-6935,Broadway,NC,15 Goheels Dr,27505,Harnett,"Hi, Bradley with Tread Companies / Trailer Parks calling about Lasater Place Mhp in Broadway. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Lasater Place Mhp (Broadway). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Autumn Forest Mobile Home Village,(336) 656-3276,Browns Summit,NC,Browns Summit Road,27214,Guilford,"Hi, Bradley with Tread Companies / Trailer Parks calling about Autumn Forest Mobile Home Village in Browns Summit. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Autumn Forest Mobile Home Village (Browns Summit). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Hiawatha Trailer Park,(704) 488-3137,Bryson City,NC,4365 Ela Road,28713,Swain,"Hi, Bradley with Tread Companies / Trailer Parks calling about Hiawatha Trailer Park in Bryson City. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Hiawatha Trailer Park (Bryson City). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Village Mhp,(336) 578-4532,Burlington,NC,1938 North Nc Highway 49,27217,Alamance,"Hi, Bradley with Tread Companies / Trailer Parks calling about Village Mhp in Burlington. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Village Mhp (Burlington). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Westwood Forest,(336) 222-9378,Burlington,NC,1717 Durham Street,27217,Alamance,"Hi, Bradley with Tread Companies / Trailer Parks calling about Westwood Forest in Burlington. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Westwood Forest (Burlington). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Colonial Mhp,(919) 575-4004,Butner,NC,810 East C Street #53,27509,Granville,"Hi, Bradley with Tread Companies / Trailer Parks calling about Colonial Mhp in Butner. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Colonial Mhp (Butner). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Piedmont Gardens,(919) 575-4554,Butner,NC,113 22Nd,27509,Granville,"Hi, Bradley with Tread Companies / Trailer Parks calling about Piedmont Gardens in Butner. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Piedmont Gardens (Butner). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Colley'S Mhp,(919) 499-5388,Cameron,NC,Highway 87 South,28326,Harnett,"Hi, Bradley with Tread Companies / Trailer Parks calling about Colley'S Mhp in Cameron. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Colley'S Mhp (Cameron). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
W A Wilson Mhp,(919) 499-4831,Cameron,NC,219 Wa Wilson Lane,28326,Harnett,"Hi, Bradley with Tread Companies / Trailer Parks calling about W A Wilson Mhp in Cameron. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re W A Wilson Mhp (Cameron). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Chatham Estates,(919) 467-1156,Cary,NC,701 E Chatham Street,27511,Wake,"Hi, Bradley with Tread Companies / Trailer Parks calling about Chatham Estates in Cary. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Chatham Estates (Cary). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Mobile Estates Company,(919) 467-6478,Cary,NC,400 York Street,27511,Wake,"Hi, Bradley with Tread Companies / Trailer Parks calling about Mobile Estates Company in Cary. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Mobile Estates Company (Cary). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Lake Jordan Mhp,(919) 971-0918,Chapel Hill,NC,5180-A Big Woods Road,27517,Chatham,"Hi, Bradley with Tread Companies / Trailer Parks calling about Lake Jordan Mhp in Chapel Hill. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Lake Jordan Mhp (Chapel Hill). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Nature Trail Mobile Home Community,(919) 933-8563,Chapel Hill,NC,101 Nature Trail,27514,Chatham,"Hi, Bradley with Tread Companies / Trailer Parks calling about Nature Trail Mobile Home Community in Chapel Hill. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Nature Trail Mobile Home Community (Chapel Hill). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Oak Grove Mhp,(919) 942-6122,Chapel Hill,NC,1501 Ford Road #38,27516,Orange,"Hi, Bradley with Tread Companies / Trailer Parks calling about Oak Grove Mhp in Chapel Hill. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Oak Grove Mhp (Chapel Hill). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Ridgewood Mhp,(919) 942-5222,Chapel Hill,NC,2201 Ridgewood Road,27516,Orange,"Hi, Bradley with Tread Companies / Trailer Parks calling about Ridgewood Mhp in Chapel Hill. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Ridgewood Mhp (Chapel Hill). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Springhill Mhp,(919) 967-4268,Chapel Hill,NC,3500 Old Greensboro Road,27516,Orange,"Hi, Bradley with Tread Companies / Trailer Parks calling about Springhill Mhp in Chapel Hill. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Springhill Mhp (Chapel Hill). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Tar Heel Mobile Court,(919) 942-3124,Chapel Hill,NC,1200 Airport Road,27514,Orange,"Hi, Bradley with Tread Companies / Trailer Parks calling about Tar Heel Mobile Court in Chapel Hill. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Tar Heel Mobile Court (Chapel Hill). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Arrowood Mhp,(704) 588-0351,Charlotte,NC,10400 John Price Road,28273,Mecklenburg,"Hi, Bradley with Tread Companies / Trailer Parks calling about Arrowood Mhp in Charlotte. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Arrowood Mhp (Charlotte). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Belhaven Estates,(704) 398-1146,Charlotte,NC,7115 Bellhaven Boulevard,28216,Mecklenburg,"Hi, Bradley with Tread Companies / Trailer Parks calling about Belhaven Estates in Charlotte. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Belhaven Estates (Charlotte). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Fieldridge Acres,(704) 399-3521,Charlotte,NC,7800 Wilkinson Boulevard,28214,Mecklenburg,"Hi, Bradley with Tread Companies / Trailer Parks calling about Fieldridge Acres in Charlotte. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Fieldridge Acres (Charlotte). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Hunter'S Mhp,(704) 399-6131,Charlotte,NC,6001 Wilkinson Boulevard,28208,Mecklenburg,"Hi, Bradley with Tread Companies / Trailer Parks calling about Hunter'S Mhp in Charlotte. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Hunter'S Mhp (Charlotte). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Huntlynn Acres,(704) 399-5327,Charlotte,NC,8000 Wilkinson Boulevard,28214,Mecklenburg,"Hi, Bradley with Tread Companies / Trailer Parks calling about Huntlynn Acres in Charlotte. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Huntlynn Acres (Charlotte). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
