name,address,city,state,zip,phone,county,website,size,units,source
Central Leisure Lk Mh & Rv Pk,1095 Us Highway 92 W,Auburndale,FL,33823,(863) 665-3855,Polk,,LARGE (>100),80,HIFLD Open Data
Eagle Trailer Park,1250 Payne Street,Auburndale,FL,33823,(863) 688-0606,Polk,,SMALL (<50),5,HIFLD Open Data
Evergreen Mobile Home Estates,70 Avenue E,Auburndale,FL,33823,(863) 665-2811,Polk,,MEDIUM (51-100),154,HIFLD Open Data
Fish Haven Lodge,201 Fishhaven Road,Auburndale,FL,33823,(863) 984-1183,Polk,,MEDIUM (51-100),62,HIFLD Open Data
Happy Day Mhp,1311 Us Highway 92 West (Office),Auburndale,FL,33823,(863) 967-4298,Polk,,MEDIUM (51-100),90,HIFLD Open Data
Hidden Park,2218-2204 Ellie Road,Auburndale,FL,33823,(863) 551-3583,Polk,,SMALL (<50),8,HIFLD Open Data
Jerico Mobile Home Park,Jerico Road,Auburndale,FL,33823,(863) 968-9223,Polk,,SMALL (<50),11,HIFLD Open Data
Lake Blue Mobile Home Park,713 Rose Street 1,Auburndale,FL,33823,(863) 318-1890,Polk,,LARGE (>100),105,HIFLD Open Data
Lake Dale Mobile Home Park,1122 Mccampbell Road,Auburndale,FL,33823,(863) 604-5789,Polk,,SMALL (<50),12,HIFLD Open Data
Lake Juliana Boating & Lodging,600 Lundy Road,Auburndale,FL,33823,(863) 984-1144,Polk,,SMALL (<50),19,HIFLD Open Data
Lake Juliana Landings,166 Juliana Boulevard,Auburndale,FL,33823,(863) 984-1288,Polk,,LARGE (>100),277,HIFLD Open Data
Lake Mattie Mobile Home Park,563 Cone Road,Auburndale,FL,33823,(863) 559-1299,Polk,,SMALL (<50),15,HIFLD Open Data
Midway Mobile Home Park,Rt 2 Box 1131 Mccampbell Road,Auburndale,FL,33823,(863) 318-9999,Polk,,SMALL (<50),9,HIFLD Open Data
Norman Village,23 Tennessee Lane,Auburndale,FL,33823,(863) 299-1048,Polk,,SMALL (<50),20,HIFLD Open Data
Palms Mobile Home Park,1805 Us Highway 92 W,Auburndale,FL,33823,(813) 971-3750,Polk,,SMALL (<50),54,HIFLD Open Data
Pine Cove Mobile Home Park,334 Recker Highway,Auburndale,FL,33823,(863) 551-3529,Polk,,SMALL (<50),13,HIFLD Open Data
Reuben Williams Mhp,1410 Us Highway 92 W,Auburndale,FL,33823,(863) 967-6675,Polk,,SMALL (<50),7,HIFLD Open Data
Sam'S Mobile Home Park,340 Recker Highway,Auburndale,FL,33823,(813) 760-1834,Polk,,SMALL (<50),16,HIFLD Open Data
Senate St. Mobile Home Park,412 1/2 Senate Street,Auburndale,FL,33823,(407) 247-7627,Polk,,SMALL (<50),14,HIFLD Open Data
Shirah Estates,"2202 Shirah Road, Lot 9",Auburndale,FL,33823,(863) 965-9300,Polk,,SMALL (<50),7,HIFLD Open Data
T & M'S Mobile Home Park,400 Block Lee Street,Auburndale,FL,33823,(863) 967-5766,Polk,,SMALL (<50),14,HIFLD Open Data
The Hamptons,1094 Us Highway 92 W,Auburndale,FL,33823,(305) 358-2750,Polk,,LARGE (>100),525,HIFLD Open Data
Tower Manor Mh Community,2604 Saddle Creek Road,Auburndale,FL,33823,(863) 665-7898,Polk,,LARGE (>100),124,HIFLD Open Data
Tropical Moon Mobile Home Park,612 Old Dixie Highway,Auburndale,FL,33823,(863) 815-5408,Polk,,SMALL (<50),9,HIFLD Open Data
Westside Ridge Adult Mh Comm,900 Berkly Road N,Auburndale,FL,33823,(863) 967-8761,Polk,,LARGE (>100),222,HIFLD Open Data
Dixie Mobile Court,"19640 W Dixie Highway, Lot 16",Aventura,FL,33180,(305) 937-0272,Miami-Dade,,SMALL (<50),,HIFLD Open Data
Avon Mobile Home Park,1350 N Lake Avenue,Avon Park,FL,33825,(941) 453-3415,Highlands,,MEDIUM (51-100),,HIFLD Open Data
Avon Park Village Ltd,115 N Florida Avenue,Avon Park,FL,33825,(941) 373-9378,Highlands,,SMALL (<50),34,HIFLD Open Data
Brentwood Mobile Home Park,31 N Brentwood Circle,Avon Park,FL,33825,(863) 381-6976,Highlands,,SMALL (<50),,HIFLD Open Data
Crystal Lake Club Mobile Home Park,533 E Crystal Lake Drive,Avon Park,FL,33825,(863) 385-7720,Highlands,,LARGE (>100),599,HIFLD Open Data
Lake Viola Trailer Park,1554 N Oak Park Avenue,Avon Park,FL,33825,(863) 453-6740,Highlands,,SMALL (<50),,HIFLD Open Data
Noble Oaks Estate,1901 N Gaster Road,Avon Park,FL,33825,(786) 266-7556,Highlands,,SMALL (<50),8,HIFLD Open Data
Orange Blossom Fellowship,1400 Cr 17 A,Avon Park,FL,33825,(863) 452-5643,Highlands,,MEDIUM (51-100),,HIFLD Open Data
Ridge Trailer Park,2100 Us 27 N,Avon Park,FL,33825,(863) 449-0792,Highlands,,SMALL (<50),17,HIFLD Open Data
Sharon Mobile Home Park,2180 Us 27 N,Avon Park,FL,33825,(863) 452-2485,Highlands,,SMALL (<50),,HIFLD Open Data
Stewart Mobile Village,1116 Us 27 S,Avon Park,FL,33825,(863) 453-3849,Highlands,,SMALL (<50),4,HIFLD Open Data
Villa Del Sol Mhp,1213 W Bohland Street,Avon Park,FL,33825,(863) 453-6395,Highlands,,LARGE (>100),152,HIFLD Open Data
Bob'S Landing Mhp & Marina,906 Ohlinger Road,Babson Park,FL,33827,(863) 638-1912,Polk,,SMALL (<50),60,HIFLD Open Data
Lindus Park Mobile Home Park,909 Lincoln Street,Babson Park,FL,33827,(863) 605-0180,Polk,,SMALL (<50),6,HIFLD Open Data
City Limits Mobile Home Park,789 Us Highway301 S,Baldwin,FL,32234,(904) 266-4613,Duval,,SMALL (<50),11,HIFLD Open Data
Lucas Trailer Park,440 W Drew Street,Baldwin,FL,32234,(904) 266-4968,Duval,,SMALL (<50),12,HIFLD Open Data
Ruis Mobile Home Park,741 U S Highway 301 S,Baldwin,FL,32234,(904) 266-4613,Duval,,SMALL (<50),11,HIFLD Open Data
Bartow Mobile Home Park,"1510 East Georgia Street, Suite 2",Bartow,FL,33830,(863) 533-3090,Polk,,MEDIUM (51-100),84,HIFLD Open Data
Carroll Mhp,3147 Wall Street,Bartow,FL,33830,(863) 533-6915,Polk,,SMALL (<50),5,HIFLD Open Data
Carroll Mobile Home Park,659 Croom Road,Bartow,FL,33830,(863) 519-2489,Polk,,SMALL (<50),7,HIFLD Open Data
Hendersons Mobile Home Park,2239 Us Highway 17 South,Bartow,FL,33830,(863) 647-1958,Polk,,SMALL (<50),5,HIFLD Open Data
J.B.'S Mobile Home Park,5445 State Road 60 E,Bartow,FL,33830,(863) 537-1548,Polk,,SMALL (<50),8,HIFLD Open Data
Lake Millsite Estates Llc,310 Lake Millsite Road,Bartow,FL,33830,(863) 441-2762,Polk,,SMALL (<50),8,HIFLD Open Data
Oak Hammock Mobile Home Park,2455 Us Highway 17 South,Bartow,FL,33830,(863) 533-8288,Polk,,LARGE (>100),103,HIFLD Open Data
Peace River Village,"2405 State Road 60 E, Lot 21",Bartow,FL,33830,(863) 533-7823,Polk,,MEDIUM (51-100),90,HIFLD Open Data
S-P Mobile Home Park,780 West Davidson Street Suite A,Bartow,FL,33830,(863) 533-1271,Polk,,MEDIUM (51-100),102,HIFLD Open Data
Terio'S Mobile Home Park,3520 E Gaskin Road,Bartow,FL,33830,(863) 533-1253,Polk,,SMALL (<50),40,HIFLD Open Data
The Homestead Mobile Home Park,1800 Us Highway 17 N,Bartow,FL,33830,(863) 533-1051,Polk,,SMALL (<50),12,HIFLD Open Data
Tice Mobile Home Park,475 N 91 Mine Road,Bartow,FL,33830,(863) 533-4920,Polk,,SMALL (<50),16,HIFLD Open Data
Aripeka West Mobile Home Court,9230 Elmira Avenue,Bayonet Point,FL,34667,(727) 868-9324,Pasco,,MEDIUM (51-100),90,HIFLD Open Data
Shady Acres Mhp And Rv Park,14417 Us Highway 19,Bayonet Point,FL,34667,(727) 868-9589,Pasco,,MEDIUM (51-100),48,HIFLD Open Data
"Bearden Trailer Park, Inc",1117 Nw 16Th Street,Belle Glade,FL,33430,(561) 996-3383,Palm Beach,,SMALL (<50),11,HIFLD Open Data
"Belle Glade Properties, Inc",600 Sw 16Th Street,Belle Glade,FL,33430,(561) 996-8467,Palm Beach,,SMALL (<50),13,HIFLD Open Data
Gladeview Mobile Home Park,800 Sw 16Th Street,Belle Glade,FL,33430,(561) 996-2522,Palm Beach,,SMALL (<50),35,HIFLD Open Data
Hester Trailer Park,150 Nw 3Rd Street,Belle Glade,FL,33430,(561) 301-7912,Palm Beach,,SMALL (<50),25,HIFLD Open Data
Johnson'S Trailer Park,340 W Canal Street S,Belle Glade,FL,33430,(561) 755-0979,Palm Beach,,SMALL (<50),25,HIFLD Open Data
Lewis Trailer Park,1108 W Canal Street S,Belle Glade,FL,33430,(561) 996-6069,Palm Beach,,SMALL (<50),50,HIFLD Open Data
Lott'S Trailer Park,1324 Nw 13Th Street 8,Belle Glade,FL,33430,(561) 996-6113,Palm Beach,,SMALL (<50),,HIFLD Open Data
Mid-City Trailer Park,300 Nw 11Th Street,Belle Glade,FL,33430,(561) 204-4143,Palm Beach,,SMALL (<50),42,HIFLD Open Data
Mohr'S Trailer Court,1309 Nw 16Th Street,Belle Glade,FL,33430,(561) 996-0268,Palm Beach,,SMALL (<50),36,HIFLD Open Data
Twin Palms Mobile Home Park,"1508 Nw Avenue ""P""",Belle Glade,FL,33430,(561) 924-5504,Palm Beach,,SMALL (<50),35,HIFLD Open Data
Ancient Oaks Mobile Home Park,5050 Se 112 St Road,Belleview,FL,34420,(352) 266-0115,Marion,,MEDIUM (51-100),11,HIFLD Open Data
Belleview M H P,11801 Se Hwy 301,Belleview,FL,34420,(352) 245-7070,Marion,,SMALL (<50),7,HIFLD Open Data
Compton Mobile Home Park,5086 Se 102Nd Place,Belleview,FL,34420,(352) 245-4562,Marion,,MEDIUM (51-100),70,HIFLD Open Data
Family Mobile Home Park,8218 Se 123Rd Lane,Belleview,FL,34420,(352) 732-6962,Marion,,SMALL (<50),19,HIFLD Open Data
Gateway Mobile Home Park,10468 Se 52 Court,Belleview,FL,34420,(352) 282-3131,Marion,,SMALL (<50),13,HIFLD Open Data
Golden Oak Mhc,4900 Se 102Nd Place,Belleview,FL,34420,(818) 276-4111,Marion,,LARGE (>100),138,HIFLD Open Data
Green Oaks Manor,6407 Se 108 Street,Belleview,FL,34420,(352) 503-7114,Marion,,SMALL (<50),39,HIFLD Open Data
Meadow Lark Mobile Home Park,4658 Se 115 Street,Belleview,FL,34420,(352) 347-0265,Marion,,SMALL (<50),,HIFLD Open Data
Mockingbird Hill Mobile Home Park,10210 Se Us 441,Belleview,FL,34420,(352) 245-3511,Marion,,SMALL (<50),13,HIFLD Open Data
Morning Light Mhp,11745 Se Hwy 301,Belleview,FL,34420,(402) 227-7099,Marion,,SMALL (<50),14,HIFLD Open Data
North Belleview Mobile Home Park,10389 Se 50 Avenue,Belleview,FL,34420,(352) 245-3033,Marion,,SMALL (<50),14,HIFLD Open Data
Par I Mobile Home Park,6220 Se Hames Road,Belleview,FL,34420,(352) 694-2925,Marion,,SMALL (<50),23,HIFLD Open Data
Pine Village Mobile Home Park,10195 Se 36Th Avenue,Belleview,FL,34420,(352) 821-6812,Marion,,SMALL (<50),12,HIFLD Open Data
S & W Mhp,11711 Se 55Th Ave Road,Belleview,FL,34420,(352) 288-7656,Marion,,SMALL (<50),12,HIFLD Open Data
Smith Lake Shores Village,9701 Se Hwy 25,Belleview,FL,34420,(352) 347-6060,Marion,,LARGE (>100),269,HIFLD Open Data
Summerview Villas Mhp,12660 Se 78 Terrace,Belleview,FL,34420,(772) 778-4265,Marion,,SMALL (<50),13,HIFLD Open Data
Sunnyvale Mobile Home Park,12156 Se 84Th Avenue,Belleview,FL,34420,(352) 299-6926,Marion,,SMALL (<50),11,HIFLD Open Data
Vin Mar Mobile Home Park,5038 Se 111Th Pl Road,Belleview,FL,34420,(352) 245-2270,Marion,,SMALL (<50),8,HIFLD Open Data
Westside Mobile Home Park,11278 Se 55Th Ave Road,Belleview,FL,34420,(352) 245-9029,Marion,,SMALL (<50),15,HIFLD Open Data
Whispering Oaks Llp,6787 Se 125Th Street,Belleview,FL,34420,(352) 347-2631,Marion,,SMALL (<50),64,HIFLD Open Data
Whispering Pines M H P,11930 Se Hwy 484,Belleview,FL,34420,(352) 362-4612,Marion,,SMALL (<50),15,HIFLD Open Data
Bahia Honda State Park,36850 Overseas Highway,Big Pine Key,FL,33043,(305) 872-3897,Monroe,,SMALL (<50),7,HIFLD Open Data
Big Pine Key Moose Lodge 1585,381 Wilder Rd,Big Pine Key,FL,33043,(305) 872-4063,Monroe,,SMALL (<50),,HIFLD Open Data
Breezy Pines R.V. Estates Condo Association,29859 Overseas Highway,Big Pine Key,FL,33043,(305) 872-9041,Monroe,,MEDIUM (51-100),8,HIFLD Open Data
Dean'S Trailer Park,31551 Avenue E,Big Pine Key,FL,33043,(248) 698-4349,Monroe,,SMALL (<50),,HIFLD Open Data
Ashley Pines Residential Park,20158 Ne John G Bryant Road,Blountstown,FL,32424,(850) 674-5007,Calhoun,,SMALL (<50),14,HIFLD Open Data
Faircloth'S Mobile Home Park,15247 Sw Faircloth Road,Blountstown,FL,32424,(850) 674-8166,Calhoun,,SMALL (<50),28,HIFLD Open Data
Graves Creek Mobile Home Park,22835 Ne Sr 69,Blountstown,FL,32424,(850) 785-6473,Calhoun,,SMALL (<50),9,HIFLD Open Data
Hidden Creek Mobile Home Park,19339 Sw Hidden Creek Road,Blountstown,FL,32424,(850) 674-4729,Calhoun,,SMALL (<50),40,HIFLD Open Data
Lewis'S Mobile Home & Rv Park,16501 John F Bailey,Blountstown,FL,32424,(850) 674-7616,Calhoun,,SMALL (<50),5,HIFLD Open Data
Northside Trailer Park And Rentals,20218 Sr 71 N,Blountstown,FL,32424,(850) 674-4688,Calhoun,,SMALL (<50),9,HIFLD Open Data
Pine Island Mobile Home Park,18841 Ne Hickory Street,Blountstown,FL,32424,(850) 674-8320,Calhoun,,SMALL (<50),,HIFLD Open Data
Redd Hill Trailer Park,23336 Ne Sr 69,Blountstown,FL,32424,(850) 674-8888,Calhoun,,SMALL (<50),10,HIFLD Open Data
Trailer City Mobile Home Park,18946 Sr 71 N,Blountstown,FL,32424,(850) 674-8236,Calhoun,,MEDIUM (51-100),39,HIFLD Open Data
Yoder'S Mobile Home Park,Nw 11Th Street,Blountstown,FL,32424,(850) 674-4139,Calhoun,,SMALL (<50),13,HIFLD Open Data
Buttonwood Trailer Park,8395 Main Street,Bokeelia,FL,33922,(813) 374-8831,Lee,,SMALL (<50),6,HIFLD Open Data
Cap-N-Mac Mobile Home Park,8365 Main Street,Bokeelia,FL,33922,(239) 283-7946,Lee,,SMALL (<50),30,HIFLD Open Data
Pink Citrus Trailer Park,15061 Stringfellow Road,Bokeelia,FL,33922,(239) 282-5583,Lee,,MEDIUM (51-100),92,HIFLD Open Data
Silver Tarpon Lodge,16870 Silver Tarpon Lodge Court,Bokeelia,FL,33922,(239) 283-0212,Lee,,SMALL (<50),8,HIFLD Open Data
Bethlehem Park,1466 Bethlehem Park Drive,Bonifay,FL,32425,(850) 547-5195,Holmes,,SMALL (<50),7,HIFLD Open Data
Cedar Gardens Community,701 E Hwy 90,Bonifay,FL,32425,(850) 769-0457,Holmes,,SMALL (<50),30,HIFLD Open Data
Cherrywood Park,1430 Cherrywood Lane,Bonifay,FL,32425,(850) 768-0788,Holmes,,SMALL (<50),,HIFLD Open Data
Country Living Estates,2981 Dusty Road,Bonifay,FL,32425,(850) 547-5628,Holmes,,SMALL (<50),17,HIFLD Open Data
"Forehand, Robert Mhp",2382 Walker Road A,Bonifay,FL,32425,(850) 548-9065,Holmes,,SMALL (<50),6,HIFLD Open Data
Forehands Mobile Home Park,2364 Trailer Park Drive,Bonifay,FL,32425,(850) 548-5765,Holmes,,SMALL (<50),10,HIFLD Open Data
Hawkins Trailer Park,2614 Spring Hill Road,Bonifay,FL,32425,(850) 547-4198,Holmes,,SMALL (<50),10,HIFLD Open Data
Holmes Correctional Housing (Mh'S) Work Camp,3142 Thomas Drive,Bonifay,FL,32425,(850) 547-8600,Holmes,,SMALL (<50),13,HIFLD Open Data
Magnolia Court 2,595 Norman Lane,Bonifay,FL,32425,(850) 547-2531,Holmes,,SMALL (<50),14,HIFLD Open Data
Majors Mh Park,1352 Sun Flower Circle,Bonifay,FL,32425,(850) 956-2024,Holmes,,SMALL (<50),10,HIFLD Open Data
Pine Oak Estates,3103 Pine Oak Drive,Bonifay,FL,32425,(850) 547-5007,Holmes,,SMALL (<50),9,HIFLD Open Data
Rolling Hills Mobile Home Park,508 Edison Street,Bonifay,FL,32425,(850) 305-4168,Holmes,,SMALL (<50),20,HIFLD Open Data
Shady Oaks Mobile Home Park,2343 Cypress Woods Drive,Bonifay,FL,32425,(850) 547-5203,Holmes,,SMALL (<50),10,HIFLD Open Data
Sideline Mobile Home Country Community,2500 Sideline Boulevard,Bonifay,FL,32425,(512) 415-4709,Holmes,,SMALL (<50),49,HIFLD Open Data
The Park,2350 Hwy 177A,Bonifay,FL,32425,(850) 547-3746,Holmes,,SMALL (<50),18,HIFLD Open Data
Waltons Mobile Home Park Ii,"114 Pecan Drive, Lot 7B",Bonifay,FL,32425,(850) 849-3911,Holmes,,SMALL (<50),22,HIFLD Open Data
Willie'S Lane Mobile Home Park,2331 Willie Lane,Bonifay,FL,32425,(850) 305-4168,Holmes,,SMALL (<50),6,HIFLD Open Data
Wilson Mh Park,3208 Neal Lane,Bonifay,FL,32425,(850) 547-5666,Holmes,,SMALL (<50),15,HIFLD Open Data
"Bonita Beach Trailer Pk Co-Op, Inc.",27800 Meadowlark Lane,Bonita Springs,FL,34134,(239) 498-1605,Lee,,MEDIUM (51-100),122,HIFLD Open Data
Bonita Heights Park Cooperative,"3650 Bonita Beach Road, Lot 28",Bonita Springs,FL,34134,(239) 826-9044,Lee,,SMALL (<50),34,HIFLD Open Data
"Bonita St. James Village, Inc.",10161 Wales Loop,Bonita Springs,FL,34135,(239) 495-7007,Lee,,MEDIUM (51-100),118,HIFLD Open Data
Citrus Park Rv Resort & Mobile,25501 Trost Boulevard,Bonita Springs,FL,34135,(239) 992-3030,Lee,,LARGE (>100),563,HIFLD Open Data
Imperial Bonita Estates,27700 Bourbonniere Drive,Bonita Springs,FL,34135,(239) 992-0511,Lee,,LARGE (>100),245,HIFLD Open Data
John P. Kingston Sr. Trust,12068-88 Taylor Street,Bonita Springs,FL,34135,(239) 992-2658,Lee,,SMALL (<50),18,HIFLD Open Data
Kingston Acres Mobile Home Park,27966 Oakland Dr,Bonita Springs,FL,34135,(239) 992-2658,Lee,,SMALL (<50),18,HIFLD Open Data
Oakland Properties Trailer Park,27974 Oakland Drive,Bonita Springs,FL,34135,(239) 947-5008,Lee,,SMALL (<50),14,HIFLD Open Data
Ranch House Trailer Park,26620 Old 41 Road,Bonita Springs,FL,34135,(239) 948-9300,Lee,,SMALL (<50),2,HIFLD Open Data
Sabal Palm Court,10680 Wilson Street,Bonita Springs,FL,34135,(414) 764-4422,Lee,,SMALL (<50),9,HIFLD Open Data
Saldivar Housing - Mobile Home Park,13520 Bonita Beach Road Se,Bonita Springs,FL,34135,(239) 910-4126,Lee,,SMALL (<50),48,HIFLD Open Data
Simmons Park,27702 Simmons Lane,Bonita Springs,FL,34134,(239) 267-0725,Lee,,SMALL (<50),7,HIFLD Open Data
Southern Pines,26300 Southern Pines Drive,Bonita Springs,FL,34135,(239) 947-1515,Lee,,LARGE (>100),400,HIFLD Open Data
Tropical Trailer Park,27500 Oregon Street,Bonita Springs,FL,34135,(239) 992-7260,Lee,,SMALL (<50),1,HIFLD Open Data
Grace Mobile Home Park,4201 Mcentraliddle Drive,Bowling Green,FL,33834,(863) 375-3500,Hardee,,SMALL (<50),19,HIFLD Open Data
Colonial Estates Inc.,12375 Military Trail,Boynton Beach,FL,33436,(561) 738-0620,Palm Beach,,LARGE (>100),254,HIFLD Open Data
Jamaica Bay Inc.,31005 Jamaica Bay Drive,Boynton Beach,FL,33437,(561) 732-1303,Palm Beach,,LARGE (>100),753,HIFLD Open Data
La Paloma,9200 Military Trail,Boynton Beach,FL,33436,(561) 732-1306,Palm Beach,,LARGE (>100),238,HIFLD Open Data
Royal Manor,4290 Royal Manor Boulevard,Boynton Beach,FL,33436,(561) 732-1050,Palm Beach,,LARGE (>100),437,HIFLD Open Data
Sand & Sea Village Mobile Home Community,2350 Nw 20Th Avenue,Boynton Beach,FL,33436,(561) 732-1499,Palm Beach,,LARGE (>100),608,HIFLD Open Data
Aloha Estates,5310 14Th Street W,Bradenton,FL,34207,(941) 753-2467,Manatee,,LARGE (>100),79,HIFLD Open Data
Bayshore Windmill Village Co-Op Inc.,603 63Rd Avenue W,Bradenton,FL,34207,(941) 755-2942,Manatee,,LARGE (>100),398,HIFLD Open Data
Belle Groves Village,624 301 Boulevard E,Bradenton,FL,34203,(941) 755-8080,Manatee,,MEDIUM (51-100),88,HIFLD Open Data
